Date,Open,High,Low,Close,Volume
2019-01-24,1082.51,1088.0,1070.02,1084.0,1455948
2019-01-23,1086.86,1092.95,1067.57,1084.41,1259738
2019-01-22,1096.0,1098.97,1070.89,1078.63,1981594
2019-01-18,1108.59,1118.0,1099.28,1107.3,2244569
2019-01-17,1087.99,1100.7,1083.26,1099.12,1244801
2019-01-16,1090.0,1102.36,1088.01,1089.51,1914041
2019-01-15,1058.01,1088.27,1054.44,1086.51,1875852
2019-01-14,1053.34,1058.45,1048.55,1051.51,1424486
2019-01-11,1069.9,1073.37,1056.43,1064.47,1543238
2019-01-10,1074.94,1079.81,1064.68,1078.83,1329861
2019-01-09,1087.99,1091.64,1074.37,1081.65,1349912
2019-01-08,1086.0,1093.35,1068.35,1085.37,1770654
2019-01-07,1080.97,1082.7,1062.64,1075.92,2372667
2019-01-04,1042.56,1080.0,1036.86,1078.07,2301428
2019-01-03,1050.67,1066.26,1022.37,1025.47,2097957
2019-01-02,1027.2,1060.79,1025.28,1054.68,1593395
2018-12-31,1057.83,1062.99,1033.04,1044.96,1655504
2018-12-28,1059.5,1064.23,1042.0,1046.68,1718352
2018-12-27,1026.2,1053.34,1007.0,1052.9,2299806
2018-12-26,997.99,1048.45,992.645,1047.85,2315862
2018-12-24,984.32,1012.12,977.66,984.67,1817955
2018-12-21,1032.04,1037.67,981.19,991.25,5232490
2018-12-20,1026.0,1047.44,1007.86,1023.58,2683670
2018-12-19,1047.29,1075.71,1019.43,1035.46,2913237
2018-12-18,1034.0,1059.69,1030.48,1043.41,2182019
2018-12-17,1047.01,1062.38,1016.63,1025.65,2496551
2018-12-14,1060.02,1071.72,1049.37,1051.71,1817949
2018-12-13,1075.67,1088.42,1064.99,1073.54,1249403
2018-12-12,1077.08,1091.73,1071.97,1073.73,1447973
2018-12-11,1066.94,1070.4,1050.1,1061.65,1692576
2018-12-10,1042.94,1059.6,1033.0,1053.18,1682646
2018-12-07,1072.23,1085.03,1039.37,1046.58,2134111
2018-12-06,1045.0,1079.42,1042.48,1078.08,2371825
2018-12-04,1112.99,1114.24,1060.78,1062.47,2281485
2018-12-03,1132.16,1135.0,1111.73,1116.36,2876449
